"wave","flux"
4601.2373,2.280990073498384e-17
4602.4873,2.30805611918885e-17
4603.7373,2.381667355761116e-17
4604.9873,2.293380779501832e-17
4606.2373,2.16092640403465e-17
4607.4873,2.100478944378135e-17
4608.7373,2.171050070680218e-17
4609.9873,2.213148002341942e-17
4611.2373,2.093477052288291e-17
4612.4873,2.397692327428747e-17
4613.7373,3.040166412353516e-17
4614.9873,3.238727737238378e-17
4616.2373,2.972283347424165e-17
4617.4873,2.667800275637779e-17
4618.7373,2.687094943953149e-17
4619.9873,2.806549608395425e-17
4621.2373,2.756713053008656e-17
4622.4873,2.962598678023726e-17
4623.7373,3.004394013581451e-17
4624.9873,2.828602888695987e-17
4626.2373,3.111374382866754e-17
4627.4873,3.100360340259693e-17
4628.7373,2.998949906337408e-17
4629.9873,2.894737039071541e-17
4631.2373,2.663914848421826e-17
4632.4873,2.539003118067613e-17
4633.7373,2.322717959557051e-17
4634.9873,2.453922551284601e-17
4636.2373,2.830596319127965e-17
4637.4873,2.703451228389035e-17
4638.7373,2.354181302294318e-17
4639.9873,2.298684114055869e-17
4641.2373,2.304985810079691e-17
4642.4873,2.31168844378436e-17
4643.7373,2.232211895224488e-17
4644.9873,2.208012474531009e-17
4646.2373,2.476424918469087e-17
4647.4873,2.65868601970908e-17
4648.7373,2.664001508171176e-17
4649.9873,2.427875544418523e-17
4651.2373,2.127509761857398e-17
4652.4873,2.106284276514878e-17
4653.7373,2.383369096167293e-17
4654.9873,2.560734514024523e-17
4656.2373,2.525901180314429e-17
4657.4873,2.530298406530309e-17
4658.7373,2.587036308006005e-17
4659.9873,2.330359294750073e-17
4661.2373,2.11971989384404e-17
4662.4873,2.491908236279898e-17
4663.7373,3.154729676046488e-17
4664.9873,3.469048822850357e-17
4666.2373,3.348129799171729e-17
4667.4873,2.916895293435932e-17
4668.7373,2.797910545820071e-17
4669.9873,2.918739735544465e-17
4671.2373,2.738217464870877e-17
4672.4873,2.127363681746118e-17
4673.7373,1.951681744610822e-17
4674.9873,2.230594486942998e-17
4676.2373,2.50608997787664e-17
4677.4873,2.605403228383005e-17
4678.7373,2.578746160059799e-17
4679.9873,2.582482704821928e-17
4681.2373,2.753126863456066e-17
4682.4873,2.932370309711974e-17
4683.7373,2.790691646623022e-17
4684.9873,2.563961574978299e-17
4686.2373,2.289443007104191e-17
4687.4873,2.371379725703487e-17
4688.7373,2.705580703170211e-17
4689.9873,2.889683557581019e-17
4691.2373,2.824963870201581e-17
4692.4873,2.561563840512877e-17
4693.7373,2.630183930196879e-17
4694.9873,2.745479624053579e-17
4696.2373,2.736324593249663e-17
4697.4873,2.834663976221909e-17
4698.7373,3.043657124083718e-17
4699.9873,3.3396769605095e-17
4701.2373,3.674944390190973e-17
4702.4873,3.473019454390915e-17
4703.7373,3.017461359848211e-17
4704.9873,2.949459652747638e-17
4706.2373,3.112490423508634e-17
4707.4873,3.047915967399692e-17
4708.7373,2.937035253454137e-17
4709.9873,3.026394582866151e-17
4711.2373,2.968193747061271e-17
4712.4873,2.679435705491055e-17
4713.7373,2.546455072850357e-17
4714.9873,2.734575306456767e-17
4716.2373,3.281793754671826e-17
